service,t,x,v,a,P
E503,2390,7.81823050153,48.188711482,0.553179071165,2000413.34499
E504,2390,10.2329848049,40.9510820461,0.806636347596,2000709.36363
E505,2390,3.861815138,30.8237976902,1.00391951239,1652929.11433
E506,2390,5.62939895186,54.5444769312,0.361920939257,2000238.90063
E507,2390,0.340021607338,14.9363963547,-0.268969312376,1.1159534047
E500,2391,1.85097927159,49.5330056636,-1.1,0.0
E501,2391,3.97647811729,27.8123525681,-0.327472079916,2.52993581745
E502,2391,5.86401942663,28.8358111333,-0.33363410306,2.67239166207
E503,2391,7.83188158396,49.8354848887,-0.509226980768,7.0493259736
E504,2391,10.2447474344,43.6658182483,0.705680802498,2000581.96324
E505,2391,3.87087767872,34.3938036825,0.97919207688,1844371.26511
E506,2391,5.64451254751,53.5719534035,-0.550295405798,8.18899995488
E507,2391,0.344035959478,13.9735281764,-0.266010541146,1.03252938664
E500,2392,1.86418568983,45.5730056636,-1.1,0.0
E501,2392,3.98425314129,29.3515976538,1.01332762554,1573982.16915
E502,2392,5.87186294877,27.647766707,-0.326501926295,2.50751363545
E503,2392,7.84547211221,48.0365380107,-0.490512964571,6.54515129648
E504,2392,10.2572168066,46.0522555433,0.623102326021,2000487.21063
E505,2392,3.88091902327,37.8651811435,0.932842368934,2000887.28544
E506,2392,5.65912086535,51.6306616236,-0.528587703558,7.58092579466
E507,2392,0.348011928519,14.6890829095,-0.268190543863,1.09429809287
